Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA,NetRtg,NetRtg.1,Luck,NetRtgTotal,NetRtgTotalPlusLuck
29,Florida Atl.,0,0,8,0.8251986379,0.6734037667,0.7677053824,0.3844410876,0.69375,0.6585365854,0.5752212389,0.8535353535,0.4936305732,0.7573289902,0.6432748538,0.668,0.7206703911,0.6900584795,0.5319148936,0.5337837838,0.7425742574,0.3435114504,0.4875968992,0.4871794872,0.6074074074,0.5129533679,0.6869565217,0.692387749033601,5.56,-0.015,0.6632029339853301,0.6629668974443509
30,Miss St,0,1,8,0.6662883087,0.8847037207,0.5470254958,0.543429003,0.53125,0.4695121951,0.3716814159,0.6237373737,0.627388535,0.67752443,0.7134502924,0.74,0.5363128492,0.4970760234,0.5957446809,0.5202702703,0.504950495,0.465648855,0.423255814,0.5608974359,0.4148148148,0.5388601036,0.5,0.712161760333036,11.36,-0.037,0.7503667481662591,0.7497588434252782
31,Nebraska,0,2,8,0.7559591373,0.81212678,0.6269121813,0.5045317221,0.5125,0.6707317073,0.7345132743,0.6919191919,0.6210191083,0.7182410423,0.5029239766,0.432,0.6201117318,0.6198830409,0.7659574468,0.5472972973,0.6930693069,0.320610687,0.480620155,0.6858974359,0.6296296296,0.481865285,0.7130434783,0.7192982456140351,9.39,0.01,0.7321515892420538,0.7321391503962295
36,TCU,0,3,9,0.6867196368,0.8135048232,0.6739376771,0.461102719,0.59375,0.6585365854,0.6283185841,0.6868686869,0.6433121019,0.7263843648,0.6608187135,0.74,0.5474860335,0.5438596491,0.4680851064,0.6351351351,0.5742574257,0.6488549618,0.6124031008,0.7692307692,0.5925925926,0.5440414508,0.4739130435,0.6968480523342254,9.71,-0.049,0.71760391198044,0.7168882865062213
37,Drake,0,0,10,0.9001135074,0.5310059715,0.7087818697,0.4890483384,0.68125,0.7256097561,0.7610619469,0.7853535354,0.6146496815,0.7752442997,0.5555555556,0.288,0.7318435754,0.7251461988,0.4609929078,0.4932432432,0.8613861386,0.4580152672,0.6558139535,0.6442307692,0.8222222222,0.518134715,0.6217391304,0.6743978590544157,2.95,0.051,0.6165036674816625,0.6171288325579691
38,Nevada,0,1,10,0.8592508513,0.6798346348,0.5940509915,0.6189577039,0.65625,0.7134146341,0.5884955752,0.7626262626,0.6369426752,0.7719869707,0.5497076023,0.428,0.6424581006,0.6725146199,0.6028368794,0.3918918919,0.7821782178,0.4351145038,0.6007751938,0.7179487179,0.7259259259,0.9119170984,0.5304347826,0.7023490930716623,5.79,0.043,0.6742053789731051,0.6746645176257984
41,Colorado St,0,3,10,0.7661748014,0.8001837391,0.5920679887,0.5702416918,0.7375,0.5670731707,0.7345132743,0.7550505051,0.576433121,0.7361563518,0.4736842105,0.312,0.7430167598,0.730994152,0.5390070922,0.3851351351,0.7524752475,0.4198473282,0.5782945736,0.9967948718,0.9555555556,0.481865285,0.5391304348,0.7114183764495986,9.3,-0.026,0.7245721271393643,0.7241290889776183
44,New Mexico,0,1,11,0.8081725312,0.7119889757,0.7439093484,0.4886706949,0.5625,0.5243902439,0.5353982301,0.7373737374,0.7133757962,0.7947882736,0.6432748538,0.652,0.4972067039,0.4736842105,0.609929078,0.7635135135,0.9207920792,0.5648854962,0.7782945736,0.4358974359,0.7111111111,0.4300518135,0.4913043478,0.7230151650312222,7.04,-0.013,0.7064792176039119,0.7062163449210594
47,UAB,0,0,12,0.721906924,0.6348185576,0.6277620397,0.3032477341,0.5,0.4573170732,0.703539823,0.7045454545,0.3630573248,0.5944625407,0.6140350877,0.748,0.4469273743,0.4970760234,0.4397163121,0.5067567568,0.6831683168,0.3282442748,0.4341085271,0.4583333333,0.4666666667,0.7668393782,0.5956521739,0.5548617305976807,4.78,0.102,0.5405867970660146,0.541924612623173
50,McNeese St,0,3,12,0.9965947787,0.1276986679,0.7073654391,0.8281722054,0.76875,0.8536585366,0.4557522124,0.9015151515,0.9076433121,1.0,0.6257309942,0.668,0.7653631285,0.7192982456,0.7375886525,0.4256756757,0.8514851485,0.8625954198,0.9697674419,0.5256410256,0.7481481481,0.5647668394,0.5739130435,0.6338090990187333,-6.38,0.032,0.46907090464547674,0.4696386925039989
